meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label,song name
0.188916036,0.074354811,0.204900662,0.183267108,0.242295806,0.059028698,7.958079505,113.914848,0.898311393,0.464725077,0.050066225,0.188916036,0.153983742,0.015952144,0.275862069,0.135625,0.0546875,0.765625,0.7109375,0.166666667,female,bulgarian17
0.122448465,0.086267943,0.111621622,0.038216216,0.204513514,0.166297297,26.05466401,798.0715316,0.934388269,0.67484413,0,0.122448465,0.086613856,0.016194332,0.228571429,0.016958841,0.0078125,0.3828125,0.375,0.05,male,dutch23
0.174523844,0.033396285,0.173863874,0.161549738,0.186764398,0.02521466,3.025874501,12.55109679,0.815919698,0.221765646,0.172691099,0.174523844,0.164132116,0.064777328,0.202531646,0.206861413,0.1640625,0.8125,0.6484375,0.097532989,female,english210
0.190951312,0.026537526,0.187940221,0.175204678,0.204678363,0.029473684,3.009521756,13.48856249,0.82605996,0.108263561,0.178843405,0.190951312,0.163046719,0.026143791,0.216216216,0.79375,0.1796875,6.578125,6.3984375,0.178201915,female,dutch31
0.18881488,0.070484528,0.163710895,0.134110032,0.257648328,0.123538296,2.198545123,10.7834387,0.895110717,0.333552621,0,0.18881488,0.090938686,0.015701668,0.262295082,0.118719363,0.0078125,0.3984375,0.390625,0.24,male,english24
0.159530491,0.075273104,0.146853147,0.121398601,0.239370629,0.117972028,1.993500516,6.870351177,0.921132353,0.582531022,0.133636364,0.159530491,0.120254421,0.018411968,0.168421053,0.372869318,0.0078125,2.609375,2.6015625,0.216816817,male,arabic18
0.166763785,0.064488516,0.160123648,0.116846986,0.229582689,0.112735703,2.117203042,8.939176207,0.937848763,0.592123294,0.121391036,0.166763785,0.101681481,0.015640274,0.253968254,0.41953125,0.0078125,2.8203125,2.8125,0.09957265,male,arabic28
0.193769347,0.058334877,0.206197827,0.149365352,0.242858776,0.093493425,5.251239064,74.42649286,0.929916286,0.381853323,0.089971412,0.193769347,0.078362852,0.015732547,0.253968254,0.161783854,0.09375,0.65625,0.5625,0.133274232,male,azerbaijani3
0.187124579,0.031592876,0.185277402,0.170121786,0.199296346,0.02917456,2.221710839,7.246410232,0.840933149,0.212158448,0.170500677,0.187124579,0.178872492,0.081632653,0.231884058,0.191840278,0.1640625,0.234375,0.0703125,0.104575163,female,dutch44
0.198253671,0.030658103,0.201016518,0.187852605,0.210978399,0.023125794,4.245282437,24.41311588,0.838184205,0.141781651,0.199237611,0.198253671,0.172201019,0.073394495,0.253968254,1.043870192,0.1796875,5.734375,5.5546875,0.107275284,female,dutch24
0.180527821,0.070866998,0.142385321,0.129541284,0.252477064,0.12293578,2.799968944,12.19036052,0.853114894,0.31342645,0.133577982,0.180527821,0.126607441,0.017039404,0.177777778,0.234863281,0.0078125,0.5078125,0.5,0.329241071,male,arabic12
